Far field
"Plane Wave Phi"[deg]	"1Bladde3D_Plastic_V2_er7_oneside261PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside263PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside250PEC [dBsm]"	"1Bladde3D_all_er5 [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside256PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside251_259_260PEC [dBsm]"	
-1.76076000E+02	-5.05896885E+01	-4.90750145E+01	-8.18318545E+01	-1.01798399E+02	-8.99298967E+01	-8.19047704E+01	
-1.76040000E+02	-5.06132598E+01	-4.90717804E+01	-8.17426373E+01	-1.01798397E+02	-8.99369975E+01	-8.19043945E+01	
-1.76004000E+02	-5.06368859E+01	-4.90685531E+01	-8.16542656E+01	-1.01798385E+02	-8.99440977E+01	-8.19040258E+01	
-1.75968000E+02	-5.06605930E+01	-4.90653267E+01	-8.15667421E+01	-1.01798360E+02	-8.99511987E+01	-8.19036589E+01	
-1.75932000E+02	-5.06843581E+01	-4.90621083E+01	-8.14800477E+01	-1.01798325E+02	-8.99583029E+01	-8.19032968E+01	
-1.75896000E+02	-5.07081758E+01	-4.90588927E+01	-8.13941720E+01	-1.01798278E+02	-8.99654077E+01	-8.19029414E+01	
-1.75860000E+02	-5.07320719E+01	-4.90556840E+01	-8.13090409E+01	-1.01798220E+02	-8.99725136E+01	-8.19025876E+01	
-1.75824000E+02	-5.07560332E+01	-4.90524800E+01	-8.12247265E+01	-1.01798150E+02	-8.99796226E+01	-8.19022379E+01	
-1.75788000E+02	-5.07800499E+01	-4.90492794E+01	-8.11411721E+01	-1.01798069E+02	-8.99867320E+01	-8.19018952E+01	
-1.75752000E+02	-5.08041305E+01	-4.90460819E+01	-8.10583502E+01	-1.01797977E+02	-8.99938421E+01	-8.19015538E+01	
-1.75716000E+02	-5.08282840E+01	-4.90428940E+01	-8.09762418E+01	-1.01797874E+02	-9.00009551E+01	-8.19012182E+01	
-1.75680000E+02	-5.08525053E+01	-4.90397059E+01	-8.08948884E+01	-1.01797759E+02	-9.00080646E+01	-8.19008881E+01	
-1.75644000E+02	-5.08767859E+01	-4.90365242E+01	-8.08142397E+01	-1.01797633E+02	-9.00151798E+01	-8.19005622E+01	
-1.75608000E+02	-5.09011367E+01	-4.90333480E+01	-8.07342883E+01	-1.01797496E+02	-9.00222936E+01	-8.19002390E+01	
-1.75572000E+02	-5.09255522E+01	-4.90301763E+01	-8.06550122E+01	-1.01797347E+02	-9.00294105E+01	-8.18999192E+01	
-1.75536000E+02	-5.09500302E+01	-4.90270078E+01	-8.05764149E+01	-1.01797188E+02	-9.00365267E+01	-8.18996094E+01	
-1.75500000E+02	-5.09745911E+01	-4.90238437E+01	-8.04984542E+01	-1.01797017E+02	-9.00436444E+01	-8.18993006E+01	
-1.75464000E+02	-5.09992152E+01	-4.90206884E+01	-8.04211595E+01	-1.01796835E+02	-9.00507643E+01	-8.18989977E+01	
-1.75428000E+02	-5.10239008E+01	-4.90175351E+01	-8.03445063E+01	-1.01796642E+02	-9.00578856E+01	-8.18986966E+01	
-1.75392000E+02	-5.10486593E+01	-4.90143857E+01	-8.02684885E+01	-1.01796438E+02	-9.00650068E+01	-8.18984048E+01	
-1.75356000E+02	-5.10734765E+01	-4.90112412E+01	-8.01930687E+01	-1.01796223E+02	-9.00721283E+01	-8.18981118E+01	
-1.75320000E+02	-5.10983644E+01	-4.90081027E+01	-8.01182511E+01	-1.01795996E+02	-9.00792531E+01	-8.18978252E+01	
-1.75284000E+02	-5.11233221E+01	-4.90049668E+01	-8.00440525E+01	-1.01795759E+02	-9.00863745E+01	-8.18975447E+01	
-1.75248000E+02	-5.11483444E+01	-4.90018383E+01	-7.99704122E+01	-1.01795510E+02	-9.00935047E+01	-8.18972640E+01	
-1.75212000E+02	-5.11734505E+01	-4.89987141E+01	-7.98973520E+01	-1.01795251E+02	-9.01006317E+01	-8.18969918E+01	
-1.75176000E+02	-5.11986110E+01	-4.89955942E+01	-7.98248508E+01	-1.01794981E+02	-9.01077592E+01	-8.18967259E+01	
-1.75140000E+02	-5.12238483E+01	-4.89924776E+01	-7.97529210E+01	-1.01794699E+02	-9.01148900E+01	-8.18964628E+01	
-1.75104000E+02	-5.12491525E+01	-4.89893666E+01	-7.96815163E+01	-1.01794406E+02	-9.01220197E+01	-8.18962055E+01	
-1.75068000E+02	-5.12745333E+01	-4.89862630E+01	-7.96106792E+01	-1.01794102E+02	-9.01291507E+01	-8.18959497E+01	
-1.75032000E+02	-5.12999814E+01	-4.89831618E+01	-7.95403637E+01	-1.01793787E+02	-9.01362828E+01	-8.18957035E+01	
-1.74996000E+02	-5.13254983E+01	-4.89800669E+01	-7.94705583E+01	-1.01793462E+02	-9.01434156E+01	-8.18954604E+01	
-1.74960000E+02	-5.13510861E+01	-4.89769763E+01	-7.94013044E+01	-1.01793126E+02	-9.01505530E+01	-8.18952209E+01	
